교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
진위교,평택시,B,37,2,37.100957,127.0642
풍계교,이천시,B,27,3,37.133443,127.602141
태평교,여주시,B,32,3,37.200325,127.545522
장평교,이천시,B,30,2,37.225055,127.524158
풍계교,이천시,B,35,3,37.149231,127.626386
덕평교,여주시,B,27,3,37.169174,127.651686
궁안교(상),평택시,B,31,2,37.016898,127.0135
안양교,안성시,B,30,2,37.00924,127.21061
보개교,안성시,B,30,3,37.012182,127.298276
고촌육교,김포시,B,30,3,37.587136,126.792184
신원교,이천시,B,25,3,37.291282,127.50988
길천교,여주시,B,25,2,37.299263,127.560079
번천2교,광주시,B,36,2,37.453328,127.25239
번천1교,광주시,B,36,3,37.449014,127.260161
신곡교,김포시,C,20,3,37.599955,126.771568
매상교,평택시,B,30,3,36.936816,126.891598
궁안교(하),평택시,B,26,2,37.01753,127.018339
신대교,평택시,B,26,1,37.004183,127.052591
숙성라멘교,평택시,B,26,기타,37.00648,126.979678
숙성교,평택시,B,26,3,37.01066,126.991691
양복육교,안성시,B,26,기타,37.015933,127.317516
마전1교,안성시,B,26,3,37.031917,127.35144
마전2교,안성시,B,26,3,37.033474,127.35279
두현육교,안성시,C,26,기타,37.072621,127.400952
중마교,안성시,C,26,3,37.07148,127.407282
죽산육교,안성시,B,26,3,37.070162,127.413831
두원육교,안성시,C,26,기타,37.069891,127.419705
장원육교,안성시,B,26,기타,37.073244,127.427609
장원교,안성시,C,26,3,37.074367,127.428605
현곡교,평택시,B,26,3,37.040297,126.934932
풍무교,화성시,C,27,기타,37.098657,126.902665
발안교,화성시,B,27,3,37.134969,126.91144
송문1교,용인시 처인구,B,26,3,37.225113,127.262715
송문2교,용인시 처인구,B,26,3,37.225011,127.265057
송문3교,용인시 처인구,B,26,기타,37.226715,127.26999
양지1교,용인시 처인구,B,26,3,37.227942,127.272003
양지2교,용인시 처인구,B,26,기타,37.232453,127.28031
추계1교,용인시 처인구,B,26,1,37.255193,127.330032
추계2교,용인시 처인구,B,26,1,37.254755,127.33493
오천교,이천시,B,26,3,37.254881,127.357189
유덕교,화성시,C,27,3,37.173678,126.936618
둔전육교,용인시 처인구,C,26,기타,37.269407,127.213529
삼계교,용인시 처인구,B,26,3,37.278456,127.224528
포곡육교,용인시 처인구,C,26,기타,37.285068,127.232816
초현교,용인시 처인구,B,26,3,37.302904,127.235062
초부교,용인시 처인구,C,26,기타,37.312474,127.240716
왕산소교,용인시 처인구,B,26,3,37.337673,127.24978
매산교,광주시,B,26,3,37.355416,127.246295
양벌육교,광주시,B,26,3,37.37036,127.244878
양벌대교,광주시,B,26,2,37.373321,127.244392
고산육교,광주시,B,26,3,37.377908,127.241726
군하교,김포시,B,26,3,37.713874,126.54484
오리교,김포시,B,26,3,37.706418,126.561331
평택호대교,평택시,B,25,1,36.910759,126.908809
현덕IC교,평택시,C,25,3,36.917497,126.910788
현덕교,평택시,B,25,3,36.953092,126.915695
안중고가차도,평택시,B,25,1,36.987967,126.938319
신원육교,이천시,B,25,기타,37.289793,127.500555
백록육교,이천시,B,25,기타,37.295042,127.541362
능서육교,여주시,B,25,기타,37.301329,127.573042
신궁1육교,평택시,B,26,3,36.979765,127.072796
신궁2육교,평택시,C,26,3,36.978607,127.077545
평궁교,평택시,B,26,3,36.977609,127.081367
안성천2교,평택시,B,23,1,36.976284,127.090594
월정육교,안성시,B,25,기타,37.08782,127.465346
청미교(상),안성시,B,25,2,37.094972,127.475273
청미교(하),안성시,B,25,2,37.094968,127.475268
행죽교,이천시,B,25,3,37.102592,127.519308
행죽육교,이천시,B,25,기타,37.106566,127.534232
제요교,이천시,B,25,3,37.111509,127.552918
제요1교,이천시,C,25,3,37.110955,127.556468
대서육교,이천시,B,25,기타,37.108947,127.565709
후포교,여주시,B,24,3,37.350688,127.602253
초현교,여주시,B,24,3,37.36936,127.584194
이호대교,여주시,B,24,1,37.283658,127.674422
이호육교,여주시,B,24,3,37.283316,127.690969
강천육교,여주시,B,24,기타,37.283005,127.694753
간매육교,여주시,B,24,3,37.274035,127.711277
부평교,여주시,B,24,3,37.273802,127.743269
한평교,안성시,B,28,2,37.106555,127.433259
방초교,안성시,B,27,3,37.111533,127.429893
고안육교,용인시 처인구,C,27,기타,37.133822,127.404286
백봉교,용인시 처인구,A,27,3,37.135071,127.402497
원대교,용인시 처인구,B,25,3,37.155549,127.384865
백암교,용인시 처인구,B,25,3,37.167768,127.378963
근곡교,용인시 처인구,B,27,3,37.170216,127.364223
두창육교,용인시 처인구,B,27,3,37.176113,127.340778
능교,용인시 처인구,B,27,3,37.185987,127.330272
희곡육교,평택시,B,23,2,36.971234,126.870734
양지고가차도,용인시 처인구,B,24,1,37.234072,127.296139
석근육교,평택시,B,23,기타,36.936761,127.045028
추팔육교,평택시,B,23,기타,36.966954,127.071085
