시군구명,id,mean_safty,mean_after
강남구,11680,2.2,25.9
강동구,11740,2.1,22.6
강북구,11305,1.9,22.9
강서구,11500,2.3,24.1
관악구,11620,2.6,43.2
광진구,11215,2.2,24.5
구로구,11530,3.0,27.7
금천구,11545,2.8,24.1
노원구,11350,2.2,31.9
도봉구,11320,2.0,24.5
동대문구,11230,2.0,40.8
동작구,11590,2.1,30.0
마포구,11440,2.1,31.6
서대문구,11410,2.2,45.0
서초구,11650,2.2,20.6
성동구,11200,2.5,25.7
성북구,11290,2.1,27.6
송파구,11710,2.1,27.4
양천구,11470,2.0,35.0
영등포구,11560,2.5,30.6
용산구,11170,2.4,37.5
은평구,11380,2.6,20.4
종로구,11110,2.0,20.9
중구,11140,2.2,37.4
중랑구,11260,2.3,19.5
