교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
진위교,2,경기도,평택시,125.0,21.0,4,PSCI거더교,B,DB-24,37,5.0,25.0,21443.0
풍계교,3,경기도,이천시,55.0,20.0,2,RC슬래브교,B,DB-24,27,4.0,15.0,5654.0
태평교,3,경기도,여주시,43.8,19.5,4,PSCI거더교,B,DB-24,32,2.0,21.9,8750.0
장평교,2,경기도,이천시,105.0,19.5,4,RC슬래브교,B,DB-24,30,7.0,15.0,14150.0
덕평교,3,경기도,여주시,32.0,10.0,2,RC슬래브교,B,DB-24,27,2.0,16.0,3739.0
궁안교(상),2,경기도,평택시,420.0,10.4,2,프리플렉스거더교,B,DB-24,31,11.0,38.3,25296.0
안양교,2,경기도,안성시,105.0,20.0,4,RC슬래브교,B,DB-24,30,7.0,15.0,21577.0
보개교,3,경기도,안성시,70.0,20.0,4,RC슬래브교,B,DB-24,30,5.0,15.0,14095.0
고촌육교,3,경기도,김포시,45.0,29.0,4,강박스거더교,B,DB-24,30,1.0,45.0,20508.0
신원교,3,경기도,이천시,36.0,19.5,4,라멘교,B,DB-24,25,3.0,13.0,15307.0
길천교,2,경기도,여주시,144.7,19.5,4,PSCI거더교,B,DB-24,25,7.0,20.7,15307.0
번천2교,2,경기도,광주시,160.0,18.0,4,RC중공슬래브교,B,DB-24,36,8.0,20.0,9900.0
번천1교,3,경기도,광주시,53.0,17.2,4,RC슬래브교,B,DB-24,36,3.0,20.0,10876.0
신곡교,3,경기도,김포시,34.1,45.0,8,RC슬래브교,C,DB-24,20,3.0,13.0,44004.0
매상교,3,경기도,평택시,30.0,20.1,4,PSCI거더교,B,DB-24,30,1.0,30.0,8897.0
궁안교(하),2,경기도,평택시,420.0,10.0,2,강박스거더교,B,DB-24,26,11.0,38.3,25296.0
신대교,1,경기도,평택시,400.0,19.5,4,강박스거더교,B,DB-24,26,8.0,50.0,25296.0
숙성라멘교,기타,경기도,평택시,11.0,19.5,4,라멘교,B,DB-24,26,1.0,11.0,19669.0
숙성교,3,경기도,평택시,36.0,19.5,4,라멘교,B,DB-24,26,2.0,18.0,19669.0
양복육교,기타,경기도,안성시,12.0,19.5,4,라멘교,B,DB-24,26,1.0,12.0,14095.0
마전1교,3,경기도,안성시,48.0,19.5,4,RC슬래브교,B,DB-24,26,3.0,18.0,14095.0
마전2교,3,경기도,안성시,20.0,19.5,4,라멘교,B,DB-24,26,2.0,10.0,14095.0
두현육교,기타,경기도,안성시,12.0,19.5,4,라멘교,C,DB-24,26,1.0,12.0,12403.0
중마교,3,경기도,안성시,45.0,19.5,4,RC슬래브교,C,DB-24,26,3.0,15.0,13701.0
죽산육교,3,경기도,안성시,30.0,26.3,4,라멘교,B,DB-24,26,2.0,15.0,13701.0
두원육교,기타,경기도,안성시,15.0,19.5,4,라멘교,C,DB-24,26,1.0,15.0,13701.0
장원육교,기타,경기도,안성시,15.0,19.5,4,라멘교,B,DB-24,26,1.0,15.0,13701.0
장원교,3,경기도,안성시,97.0,19.5,4,RC슬래브교,C,DB-24,26,7.0,15.0,13701.0
현곡교,3,경기도,평택시,42.0,19.5,4,RC슬래브교,B,DB-24,26,3.0,18.0,21136.0
