교량명,시설물종별등급구분,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수
진위교,2,경기도,평택시,37.100957,127.0642,37.102066,127.063897,125.0,21.0,4,PSCI거더교,B,DB-24,37
풍계교,3,경기도,이천시,37.133443,127.602141,37.13371,127.601766,55.0,20.0,2,RC슬래브교,B,DB-24,27
태평교,3,경기도,여주시,37.200325,127.545522,37.200578,127.545179,43.8,19.5,4,PSCI거더교,B,DB-24,32
장평교,2,경기도,이천시,37.225055,127.524158,37.225717,127.523299,105.0,19.5,4,RC슬래브교,B,DB-24,30
풍계교,3,경기도,이천시,37.149231,127.626386,37.148733,127.626393,44.0,10.0,2,RC슬래브교,B,DB-18,35
덕평교,3,경기도,여주시,37.169174,127.651686,37.169362,127.651992,32.0,10.0,2,RC슬래브교,B,DB-24,27
궁안교(상),2,경기도,평택시,37.016898,127.0135,37.017447,127.01814,420.0,10.4,2,프리플렉스거더교,B,DB-24,31
안양교,2,경기도,안성시,37.00924,127.21061,37.009015,127.211938,105.0,20.0,4,RC슬래브교,B,DB-24,30
보개교,3,경기도,안성시,37.012182,127.298276,37.012244,127.299035,70.0,20.0,4,RC슬래브교,B,DB-24,30
고촌육교,3,경기도,김포시,37.587136,126.792184,37.58732,126.792687,45.0,29.0,4,강박스거더교,B,DB-24,30
신원교,3,경기도,이천시,37.291282,127.50988,37.291459,127.510577,36.0,19.5,4,라멘교,B,DB-24,25
길천교,2,경기도,여주시,37.299263,127.560079,37.299209,127.562075,144.7,19.5,4,PSCI거더교,B,DB-24,25
번천2교,2,경기도,광주시,37.453328,127.25239,37.45475,127.252398,160.0,18.0,4,RC중공슬래브교,B,DB-24,36
번천1교,3,경기도,광주시,37.449014,127.260161,37.449605,127.260576,53.0,17.2,4,RC슬래브교,B,DB-24,36
신곡교,3,경기도,김포시,37.599955,126.771568,37.599771,126.771829,34.1,45.0,8,RC슬래브교,C,DB-24,20
매상교,3,경기도,평택시,36.936816,126.891598,36.936666,126.891871,30.0,20.1,4,PSCI거더교,B,DB-24,30
궁안교(하),2,경기도,평택시,37.01753,127.018339,37.016908,127.013439,420.0,10.0,2,강박스거더교,B,DB-24,26
신대교,1,경기도,평택시,37.004183,127.052591,37.000017,127.059734,400.0,19.5,4,강박스거더교,B,DB-24,26
